 psiR psiI
0 -0.07412850145960227 -0.05010866353098791
1 0.010976254212185966 -0.02717121655311232
2 -0.005874870493212403 0.0036435146293189572
3 -0.04708561227725011 -0.06614281884450707
4 0.011823950138019058 0.002451483038906175
5 -0.0282658413529168 -0.022875912611338707
6 -0.03998398953014322 -0.014553302613093844
7 -0.02642275489215306 -0.0033520688722049837
8 0.002517357866269709 -0.016891068736869446
9 0.019269830809509992 -0.03306374086974492
10 -0.02306252303017646 -0.007564467491929478
11 -0.004336702954978009 -0.024450427976292505
12 -0.024079139986083735 -0.030942533010650294
13 -0.04592074207028989 -0.01824539642289865
14 -0.06288752601849122 0.011318946203916519
15 0.007804725533906261 -0.04412992714239649
16 -0.009739157615708068 -0.040413708923185854
17 0.02712718153159966 -0.008449820099493134
18 0.004425494821081297 -0.04061019382089252
19 0.023432173486149295 -0.030084915595542626
20 -0.00832553973542674 -0.0031692350001824208
21 -0.023925157472235396 -0.00024105761516777895
22 -0.043983663527211406 0.0030400415659154155
23 -0.013720562038524056 -0.03334999854478947
24 -0.05270384299591684 -0.021052831323920104
25 0.002277849045109052 -0.03601334328127305
26 -0.03060226036977502 0.01888502546356727
27 -0.053640328894943114 -0.026108022808420246
28 -0.055747237568419254 0.016786124685362433
29 -0.032275742029483065 -0.02512243471860067
30 -0.029838702946054348 0.0009654102561754267
31 -0.010796666284291503 -0.03181059088778234
32 -0.009739157615708174 -0.04041370892318538
33 0.014270724738433292 0.001085564728514705
34 0.024100098086838176 -0.003463483308675546
35 0.009316536240103507 -0.021173249368572324
36 0.0016221470963118942 -0.018368440465842482
37 -0.007174938578570305 -0.034797383700885164
38 -0.02949473087004409 -0.04345366397502807
39 0.011419072536165045 -0.02614187169869233
40 -0.01913457089709001 0.007213495796360788
41 -0.0005600313703543638 -0.020663940178349407
42 -0.00322872249773469 0.019119509852001115
43 -0.027981556140287783 0.00935284191051016
44 -0.0240417204706076 0.018508680291200647
45 -0.04306975942187054 -0.007093115660364912
46 -0.04162330203874205 0.01854248931507439
47 -0.016943897873082578 -0.023912302440163867
48 -0.07023766002088462 -0.009902063286704083
49 0.01452025705107176 -0.024862942126946383
50 -0.006858287861169384 -0.026063789332606505
51 -0.040916022870340005 -0.034175308420809784
52 -0.008620920522690643 0.0009300283245425303
53 -0.045465019786588665 0.019737439849614718
54 -0.05083217092686407 0.04233946526432545
55 -0.042279548298325635 -0.00974545490580621
56 -0.04400700845204632 0.014294990019632543
57 0.009114826953769264 -0.0273477490160461
58 -0.016332484379248755 0.005985176416871103
59 -0.04723779887696564 -0.002820902046263998
60 -0.02106203919962211 0.0037371561775263367
61 -0.025630507175429917 -0.04355463041692629
62 -0.04082034359089653 -0.030605846519969337
63 0.012189614867809392 -0.03353364705708213
64 0.002517357866269416 -0.01689106873686955
65 0.0019535386736795513 -0.005951406303761441
66 0.0021161165958703144 0.022445565274332432
67 -0.004579775784372838 -0.006200545784095473
68 0.016254643923260762 0.0032320700986440366
69 0.008711914328684664 -0.015038696630542971
70 0.009227724275735984 -0.02775350767024414
71 0.007549324171312454 -0.0023503545734487284
72 -0.008359916898198042 -0.019503859076716052
73 0.02490818568136403 -0.007706903472026247
74 -0.02394821611112205 -0.007607275637200523
75 -0.01071079687739922 -0.03227566090022729
76 -0.02169102770294073 -0.027848906930999437
77 -0.002942859720155604 -0.024543235668325468
78 -0.02472208497160069 -0.01164914160447837
79 0.014017684855072935 -0.010032396240931418
80 -0.01913457089708948 0.007213495796361118
81 0.007958210628717603 -0.007805593740994285
82 -0.015685156889233255 -0.017489155440932835
83 -0.013987889636285169 -0.010111098097489689
84 -0.0029274732935804307 0.0006654157419225398
85 -0.005679307819724697 0.0199755484649394
86 -0.0036641440093249378 0.025988058458744683
87 -0.013373853017653273 0.006951130413225769
88 -0.01968095271523273 0.013842986976954219
89 -0.0037298641000303133 -0.023113389731658298
90 -0.014323624604557394 0.0165033251363634
91 -0.03173459324583167 0.008868726948182797
92 -0.0197237902599671 0.015859048821513837
93 -0.024948353448465882 -0.011771945674635732
94 -0.01996531006077542 0.0038348264383848097
95 -0.004255953020990364 -0.01967951714710302
96 -0.05270384299591721 -0.02105283132392035
97 0.01114647990244582 -0.010619033798843361
98 0.013811709043258891 -0.018141178963131915
99 -0.028702768492775248 -0.033804156462442114
100 -0.00037629577903723036 -0.02435991841856388
101 -0.031709391143860156 -0.021667340793693167
102 -0.05332618773382508 -0.010857249507086608
103 -0.009650083705514585 -0.009979939213660357
104 -0.019680952715231986 0.013842986976953742
105 -0.020789144966799317 -0.03454049820665315
106 -0.0002978896938070994 0.030594964853367372
107 -0.03417546427136699 0.022414141011475232
108 -0.02967147709170606 0.03105825428717523
109 -0.06006490430934079 0.019828564752589664
110 -0.034454242717943014 0.05032853197932889
111 -0.029395587595679236 -0.02688764399320041
112 -0.044007008452046324 0.014294990019631675
113 0.00013167378941145755 -0.02154829661132847
114 0.009591999162548976 -0.009732197537344415
115 -0.04240463109908121 0.0061630184255982825
116 -0.007352034978145918 -0.0027772868532838155
117 -0.03765621827317579 0.022116503222750314
118 -0.033182033779321066 0.030963197840708192
119 -0.017462099163494504 -0.0018551422566897829
120 -0.024445708697714792 -0.006399919794673442
121 0.017064058513100337 -0.024645020108003735
122 -0.024904109980351374 -0.008509418277735518
123 -0.030572399281913475 -0.02133552577708615
124 -0.027940139275413677 -0.029617578881929865
125 -0.02885402558672614 -0.04117825324666917
126 -0.0516535292834898 -0.01798837704810892
127 0.008382281208094668 -0.028719177303964
128 0.011823950138018865 0.0024514830389063902
129 0.00850833235080858 -0.01250883728277126
130 -0.02633649891493314 -0.001292694018483467
131 -0.002444514618837574 -0.0008988115297388392
132 -0.009467064905710702 0.018972308529725895
133 0.007225896456366074 0.017960362578172934
134 0.022258033943221813 0.01833490244295207
135 -0.002905078246639445 0.0007143320466560681
136 0.016254643923260943 0.0032320700986442448
137 0.008698869322682028 0.021990605184285174
138 0.003212737241165543 -0.021590965960992123
139 0.02446071240003799 -0.001124250804831067
140 0.018871396449605324 -0.01916213565442831
141 0.009173253180523235 0.002690110240522808
142 -0.002837596556389961 -0.012106217504403315
143 0.007788741183226843 0.01561255739187002
144 0.0016221470963128136 -0.01836844046584272
145 0.02071281945304638 0.020713775454867092
146 0.014013406916659293 -0.0215104228245614
147 0.01348090328843193 -0.01984712661756678
148 -0.006097906415401842 -0.010160535484505274
149 -0.021161072409575037 -0.017381597723486554
150 -0.029016867565027714 -0.01287958824980501
151 0.005183094645647571 -0.013094665305049406
152 -0.00037629577903718287 -0.024359918418563054
153 0.015922880331328146 -0.0036004529667834177
154 -0.00536383686046271 -0.00882382504637961
155 0.0034683788788202677 -0.025193160601579435
156 -0.006863711980364709 -0.005570923421610415
157 0.02145198914378764 -0.006559754145432477
158 0.022149400568861825 -0.009449039395336624
159 0.017317469883938518 -0.0033796130264794463
160 -0.008325539735427578 -0.003169235000182218
161 0.0043233724867455916 0.0073136364753567246
162 0.006450398835603922 -0.013202015272698682
163 -0.0023881790229273534 -0.009574994163718865
164 -0.00609790641540097 -0.010160535484508449
165 -0.010934703480986819 -0.0060969603063913
166 -0.014991132654274111 0.001212051467199474
167 0.0027422236201113583 0.000450748758247084
168 -0.0029274732935800473 0.000665415741921407
169 -0.01114766332837594 -0.001497402280397367
170 0.008411499349546846 0.003382203422086787
171 -0.0008503802773738032 0.006519036936163761
172 -0.0009776949059848179 0.009791680617075992
173 -0.008973205605883506 0.00826287606186554
174 0.0013753009253117468 0.005943379920277757
175 -0.006623946465234381 -0.006088695260553488
176 -0.008620920522690863 0.0009300283245437637
177 0.006187004995979413 -0.009837508253575157
178 -0.005793955771174381 -0.005984813939418731
179 -0.012644730813062761 0.0002144734955925186
180 -0.008872055223812632 0.0038852603089828187
181 -0.010730455281264605 0.01164382208736547
182 -0.0069991208543159255 0.014169251085552677
183 -0.0024612833177187514 -0.004535643727541087
184 -0.007352034978146692 -0.002777286853284597
185 -0.0022565377623463773 -0.004836909619461651
