 time energy energy_var energy_MC zPol zPol_var zPol_MC zz zz_var zz_MC xPol xPol_var xPol_MC tdvpErr tdvpRes dt
0 0.0 0.0 0.0 0.0 -0.2199665581187771 0.05947577862613187 0.0 0.09677044898678691 0.15924322757686127 0.0 6.936124865495122e-05 0.06250014724159847 0.0 0.0 0.0 0.0
1 0.0 -1.5483271837885908 40.766266259676485 0.0 -0.2199665581187771 0.05947577862613187 0.0 0.09677044898678692 0.15924322757686127 0.0 6.936124865495122e-05 0.06250014724159847 0.0 0.0013951280874581196 9.288833673891005e-06 0.0001
2 0.00020000000000000004 -1.5483271837641701 40.76637994792165 0.0 -0.2199665578409115 0.05947578665772341 0.0 0.09677044898526063 0.15924367167156894 0.0 0.00024102539254775013 0.06250015749256116 0.0 0.0013951481072577154 9.287038939105649e-06 0.0002
3 0.0006000000000000002 -1.5483271835002994 40.7666074823665 0.0 -0.21996655727971037 0.0594758026635952 0.0 0.0967704489687687 0.15924456047799412 0.0 0.0005843533871757582 0.0625003103872275 0.0 0.0013951448983272607 9.28357587775863e-06 0.0004
4 0.0014 -1.548327180480581 40.7670626386284 0.0 -0.2199665561178712 0.05947583443571147 0.0 0.09677044878003631 0.1592463384321422 0.0 0.00127100620371314 0.06250114574438312 0.0 0.0013949733796795316 9.277254609233859e-06 0.0008
5 0.0030000000000000005 -1.5483271487243913 40.76796896201125 0.0 -0.21996655359609424 0.05947589698184166 0.0 0.09677044679527445 0.15924987875785646 0.0 0.002644282787042534 0.06250493459019489 0.0 0.0013940103448691898 9.267596476619405e-06 0.0016
6 0.0062 -1.548326987790333 40.769731758949575 0.0 -0.2199665502559128 0.05947601866366986 0.0 0.0967704367368958 0.15925676468339678 0.0 0.005390583609266342 0.06252098153679302 0.0 0.0013896387982036407 9.261353822491337e-06 0.0032
7 0.012599999999999998 -1.548330187131905 40.77281184904522 0.0 -0.21996661011683769 0.05947626316335541 0.0 0.09677063669574407 0.15926879628533291 0.0 0.010881038058325666 0.06258689523743691 0.0 0.0013694698759298962 9.276136857851021e-06 0.0064
8 0.025400000000000002 -1.5483794114786102 40.775989794454155 0.0 -0.2199670851389186 0.05947678408530019 0.0 0.09677371321741311 0.1592812101345865 0.0 0.021844028447132263 0.06285333524332729 0.0 0.0012824772022433928 9.150857124823088e-06 0.0128
9 0.051000000000000004 -1.5485881178773104 40.773678765237634 0.0 -0.21996667827970173 0.05947810086452456 0.0 0.0967867573673319 0.15927218267670953 0.0 0.04363450787624842 0.0639157422139688 0.0 0.0012078736677604285 9.831395465478305e-06 0.018057818671795373
