 time energy energy_var energy_MC zPol zPol_var zPol_MC zz zz_var zz_MC xPol xPol_var xPol_MC tdvpErr tdvpRes dt
0 0.0 0.0 0.0 0.0 -0.21996655811877708 0.05947577862613185 0.0 0.09677044898678692 0.15924322757686124 0.0 6.93612486549512e-05 0.06250014724159846 0.0 0.0 0.0 0.0
1 0.0 -1.5483271837885908 40.766266259676485 0.0 -0.2199665581187771 0.05947577862613187 0.0 0.09677044898678692 0.15924322757686127 0.0 6.936124865495122e-05 0.06250014724159847 0.0 0.0013951280874581196 9.288833673891005e-06 0.0001
2 0.0004000000000000001 -1.5483271837935646 40.76615265012428 0.0 -0.21996655839653045 0.05947577057606099 0.0 0.0967704489870978 0.15924278378954793 0.0 -0.00010230289937019354 0.06250018112133554 0.0 0.001395093200189379 9.290665104154056e-06 0.0002
3 0.0012000000000000003 -1.5483271837512556 40.76592574536825 0.0 -0.21996655895683354 0.05947575442251475 0.0 0.09677044898445346 0.15924189744284473 0.0 -0.0004456309302022737 0.0625003812716615 0.0 0.0013949773031591839 9.294420263648443e-06 0.0004
4 0.0028 -1.5483271820206137 40.76547373619468 0.0 -0.21996656011401056 0.05947572191628138 0.0 0.09677044887628838 0.15924013178201046 0.0 -0.0011322839947725076 0.06250131112325225 0.0 0.0013945489069701056 9.302162878314582e-06 0.0008
5 0.006000000000000001 -1.548327146445714 40.76458111624277 0.0 -0.21996656264685877 0.05947565622565992 0.0 0.09677044665285714 0.15923664498532333 0.0 -0.002505562622712721 0.06250528887080162 0.0 0.0013927906693557146 9.317340620722558e-06 0.0016
6 0.0124 -1.5483267211912743 40.76286973214879 0.0 -0.2199665681771849 0.05947552301853103 0.0 0.09677042007445466 0.15922995989120628 0.0 -0.005251877912478057 0.06252171441082102 0.0 0.0013846775051342686 9.336267305070243e-06 0.0032
7 0.025199999999999997 -1.5483280317916506 40.75983635286595 0.0 -0.21996655915710225 0.059475252435319786 0.0 0.09677050198697819 0.15921811075338263 0.0 -0.010742277747046263 0.06258841579101163 0.0 0.0013476249441075616 9.287227339283459e-06 0.0064
8 0.0508 -1.5483372432821165 40.75569836207465 0.0 -0.2199656501581612 0.05947456558990234 0.0 0.0967710777051323 0.15920194672685412 0.0 -0.02170720681945878 0.06285695060474428 0.0 0.0012391900430510638 8.983476400383339e-06 0.010064470623934577
9 0.0910578824957383 -1.5481707779217615 40.752985440765386 0.0 -0.2199592505671484 0.059472371026375245 0.0 0.09676067362011011 0.15919134937798982 0.0 -0.038869519920413015 0.06364033402023672 0.0 0.0012262969860675765 9.960905816971213e-06 0.008453972741380034
10 0.12487377346125844 -1.5481446722313688 40.75221068413033 0.0 -0.21995887409979886 0.059471486135299886 0.0 0.09675904201446056 0.1591883229848841 0.0 -0.053164988603729965 0.06462880916008434 0.0 0.0011266744787068461 9.758738902885647e-06 0.008374649076111358
11 0.15837236976570387 -1.5481300643176612 40.75036782238691 0.0 -0.21995855674715548 0.05947067282640033 0.0 0.09675812901985383 0.15918112430619888 0.0 -0.06717297515344901 0.06589466976365947 0.0 0.0010283750235366984 9.41526551454901e-06 0.011445592678040475
12 0.20415474047786578 -1.5481123668799333 40.744075935234726 0.0 -0.21995872988372628 0.05946997021130289 0.0 0.09675702292999584 0.15915654662201062 0.0 -0.08599921378033945 0.06805889273255344 0.0 0.0009074402922260028 8.831271202761275e-06 0.019425641670818276
13 0.2818573071611389 -1.5480009654785651 40.72351784324139 0.0 -0.21995653993628772 0.05946848760156503 0.0 0.0967500603424103 0.15907624157516165 0.0 -0.11683988220083208 0.07275126578828384 0.0 0.0008893051752855152 9.742667025722421e-06 0.018784642793808197
14 0.3569958783363717 -1.5478780927871854 40.69975670208905 0.0 -0.21995335592716858 0.059468456615194225 0.0 0.09674238079919908 0.1589834246175353 0.0 -0.14496095604012962 0.07826942878322371 0.0 0.0008165589314064192 9.549793575596678e-06 0.020445786321098787
15 0.4387790236207668 -1.5478585118347867 40.6749423929845 0.0 -0.219949180713165 0.059469211753210786 0.0 0.09674115698967417 0.1588864937225957 0.0 -0.17321259935062006 0.08500610650479207 0.0 0.0007445423678672514 9.385472327815906e-06 0.01940000063674948
16 0.5163790261677648 -1.5477672437868815 40.6550317769422 0.0 -0.21994340600241458 0.05946989792907753 0.0 0.0967354527366801 0.15880871787868048 0.0 -0.1973524310811977 0.09171222733162232 0.0 0.0006639706667883605 9.02112030363469e-06 0.018081167692960233
17 0.5887036969396057 -1.5477267324462893 40.64071890077063 0.0 -0.21994100182403992 0.05947127122818023 0.0 0.0967329207778931 0.1587528082061353 0.0 -0.21721697577265348 0.09788858706994802 0.0 0.0005867904779351951 8.577982867884241e-06 0.022932533305863898
18 0.6804338301630612 -1.5475556952457628 40.62303215401518 0.0 -0.21993457122318644 0.059472407737750116 0.0 0.09672223095286017 0.1586837193516218 0.0 -0.23840500236259493 0.10514314650059536 0.0 0.000601399567433214 9.642326451295719e-06 0.02712352377176691
19 0.7889279252501289 -1.5473162140246728 40.60351646555839 0.0 -0.21992607031181957 0.0594740232711289 0.0 0.09670726337654204 0.15860748619358747 0.0 -0.257280463071736 0.11221101318587581 0.0 0.0005059542283667451 8.914177229034027e-06 0.023711622607029362
20 0.8837744156782463 -1.5471985562747648 40.587549191218855 0.0 -0.21992129526508283 0.05947591686795643 0.0 0.0966999097671728 0.15854511402819865 0.0 -0.2680614793174467 0.11655102402694485 0.0 0.00043659375687343793 8.341112999960079e-06 0.021628683290479993
21 0.9702891488401663 -1.5471120350708298 40.573769713298255 0.0 -0.21991857378432825 0.059478108407697045 0.0 0.09669450219192686 0.15849128794257128 0.0 -0.2731976891161149 0.11878051205242593 0.0 0.00047390272090086505 9.649357099279328e-06 0.02796593213370089
22 1.0 4.373490667454238 30.50041518596935 0.0 -0.2199152881339721 0.05948125798622873 0.0 0.09668937920151523 0.1584295443762867 0.0 -0.2733431667158899 0.11914224682019277 0.0 0.004826081479421207 8.998533848826769e-06 0.010343916163630748
23 1.0206878323272615 4.373236559952486 30.512001293093785 0.0 -0.21010127008312315 0.0610053672119818 0.0 0.09819649078078602 0.15915034337232217 0.0 -0.2733272849970304 0.11918750505114761 0.0 0.0046703606439176815 8.900264704513228e-06 0.009646146403004213
24 1.0399801251332699 4.373148791182012 30.520237510075173 0.0 -0.20087503750552696 0.06245199147239206 0.0 0.10005797497036331 0.15973458382079608 0.0 -0.2733217994488758 0.11921967777373116 0.0 0.004450345635943709 8.77555235599582e-06 0.007803722539167374
25 1.0555875702116047 4.373180916099595 30.525469386091032 0.0 -0.1933594767265543 0.06364006540786885 0.0 0.1018754460585023 0.16013575605191155 0.0 -0.2733238072562247 0.1192401147894181 0.0 0.004524239021030274 9.975721338606646e-06 0.00797275823422715
26 1.071533086680059 4.37320894711511 30.52970407465771 0.0 -0.18563180349926367 0.0648693656420074 0.0 0.10401769885888837 0.16047202764833146 0.0 -0.27332555919469437 0.11925665654163169 0.0 0.004317216424435055 9.888751118361003e-06 0.009982758064439917
27 1.0914986028089388 4.373359218995832 30.532852588387694 0.0 -0.17589653115217613 0.06643025640621736 0.0 0.10711464223682449 0.1607810449877088 0.0 -0.2733349511872396 0.11926895542338946 0.0 0.004055283799507592 9.589734724185254e-06 0.006505568638765871
