 time xPol zPol zz
0 0.0 1.000000000000004 -5.898059818321144e-16 1.154263316871607e-15
1 0.05 0.9949141936095824 -0.09983041721014067 0.008969500112711859
2 0.1 0.9797070588332377 -0.19864534961389863 0.035514001291577744
3 0.15000000000000002 0.9545291539571781 -0.29543935947450906 0.07855640270440002
4 0.2 0.9196304081952664 -0.3892270436033892 0.13635057715262555
5 0.25 0.8753585580030032 -0.47905289807477425 0.20655280670689066
6 0.30000000000000004 0.8221568418615304 -0.5640009902625391 0.2863176322429278
7 0.35000000000000003 0.7605608543192681 -0.6432043591906951 0.37241416483713036
8 0.4 0.6911944540104209 -0.7158540548537102 0.46135806560281023
9 0.45 0.6147646280663509 -0.7812077169022908 0.5495537582766722
10 0.5 0.5320552369252793 -0.8385975842985571 0.6334410222403988
11 0.55 0.4439195978342194 -0.8874378215619916 0.7096399397865425
12 0.6000000000000001 0.35127190991173995 -0.9272310452129032 0.7750882472677356
13 0.65 0.25507757508257856 -0.9575739368381906 0.8271654618338091
14 0.7000000000000001 0.15634252338778762 -0.9781618373404033 0.8637987100252289
15 0.75 0.05610170367076661 -0.9887922304390511 0.8835459481366845
16 0.8 -0.04459305293342657 -0.9893670419822818 0.8856532048916415
17 0.8500000000000001 -0.14468555282713044 -0.9798937042899928 0.8700835551525345
18 0.9 -0.24312787583138268 -0.960484960425491 0.8375167040455375
19 0.9500000000000001 -0.3388928515184997 -0.9313574105667156 0.7893192751560462
20 1.0 -0.43098610782786934 -0.8928288299673353 0.7274871037938548
21 1.05 -0.5184574463751791 -0.8453143138059901 0.6545619865898706
22 1.1 -0.6004113346887622 -0.7893213270892492 0.5735263842336362
23 1.1500000000000001 -0.6760163516719778 -0.7254437565174797 0.4876804718540235
24 1.2000000000000002 -0.7445134750650438 -0.654355075005208 0.40050664453733364
25 1.25 -0.8052231542495203 -0.576800737940588 0.31552708473508945
26 1.3 -0.857551163998083 -0.49358993328421674 0.23616026381283553
27 1.35 -0.9009932806197768 -0.40558680568591576 0.1655822715219611
28 1.4000000000000001 -0.935138857954659 -0.3137012687588697 0.10659864474015279
29 1.4500000000000002 -0.9596734043719596 -0.21887951061040903 0.061531910598730824
30 1.5 -0.9743802720465042 -0.12209428699211443 0.032129388984012186
31 1.55 -0.9791415663390932 -0.024335085367313027 0.019494944094208926
32 1.6 -0.9739383673671893 0.07340176689552468 0.024047370586095535
33 1.6500000000000001 -0.9588503302394649 0.17012298499257641 0.04550698924121063
34 1.7000000000000002 -0.9340546982593205 0.2648481396846617 0.08291085665510992
35 1.75 -0.899824728580661 0.3566193423888621 0.13465581212028654
36 1.8 -0.8565274964412343 0.44451074217443176 0.1985674417701625
37 1.85 -0.8046210161507508 0.5276377696304181 0.27199198247716555
38 1.9000000000000001 -0.7446505978787212 0.6051660553479115 0.3519072594428144
39 1.9500000000000002 -0.6772443515197395 0.6763199421734182 0.4350479897618466
40 2.0 -0.6031077539670375 0.7403905016605397 0.5180402201979992
