 psiR psiI
0 0.13062842690956442 -0.35852121943189913
1 0.08229827627263524 0.1208248155689781
2 0.09738327517392775 0.02222096293786703
3 0.16003322250564322 -0.06508087451593202
4 0.10661587402819328 0.021469309594716872
5 0.04318805803563317 0.05431434846654351
6 0.10293808975850166 -0.07742256272428079
7 -0.06440467707676154 0.05523760260131195
8 0.10947485682640451 0.035793925384714625
9 -0.02989820493342492 0.06142334307392021
10 0.05323761598273306 0.021686912821733444
11 0.0019238069769262822 0.031844789342464555
12 0.10414538838020626 -0.0779511294797259
13 -0.0056491597721278295 0.05204982287673575
14 0.00943538615510187 0.05517320677101331
15 0.06281430405921307 0.042751305944428525
16 0.10688601262908508 0.039942516265137576
17 -0.04764718407626087 0.033426574885588665
18 0.01058530490523062 0.04650566606590942
19 0.02173131553299392 0.03361295627404018
20 0.05627816494581961 0.024584473711346227
21 -0.019511361857329712 0.02980120699633628
22 0.01707474666410839 0.03497406760641413
23 -0.012207263375313401 0.019411644652676807
24 0.10848978657437575 -0.0822552239913146
25 0.001017509334603546 0.04415650970422793
26 0.01820730955456881 0.02963164632476361
27 0.059932929111943076 0.013094774440800122
28 0.01141436525173298 0.05559990635637492
29 -0.012678949862815533 0.02197893431685815
30 0.04734654597829674 0.008259154536744348
31 -0.04511977998122079 -0.022784627952430386
32 0.1068860126290848 0.03994251626513746
33 -0.04207838528348086 0.02089528061191157
34 -0.01033713625886675 0.039453722552586466
35 0.02445002930221503 0.046409031814140536
36 0.01019716948581526 0.050637616567178294
37 -0.022269181985247466 0.01406290110751863
38 0.016902403653479576 0.026791596045415113
39 -0.029778192736772686 -0.008031563665988568
40 0.05537846600858216 0.027653020391999298
41 -0.02594773728253079 0.013999224341921968
42 -0.00046714659463237707 0.025883308025499097
43 0.007952410463074409 0.0209489062349071
44 0.018745062223756062 0.036800080188867296
45 -0.022716159358002606 0.007887200501189661
46 0.0004530833478579681 0.024752545279793904
47 -0.011355352113817723 0.0017661503141261723
48 0.10872244053318521 -0.08431705724454697
49 0.0041579831438015675 0.04960029865080099
50 0.01940642671693309 0.020839483692603595
51 0.059851684410618756 0.013803336214387799
52 0.02070603209747535 0.03028596461184255
53 0.000691384685330634 0.02242364797473538
54 0.04625535670951659 -0.0007026854273023235
55 -0.030648186425543032 0.00043333119316944476
56 0.0029240647686674015 0.05831757513263423
57 -0.032514140023228624 -0.0019854098418707615
58 0.0016686221323999328 0.022946492210285926
59 -0.016430322172494335 0.009028780839661991
60 0.04586787756335907 0.009278696014466802
61 -0.019071757073418315 0.0023638052938051417
62 -0.034840425363372146 0.014039436156279103
63 0.004625150109047734 0.03666579329289454
64 0.10947485682640457 0.03579392538471496
65 -0.035545534550426645 0.023046102480011165
66 -0.011049841063104708 0.030307688238343494
67 0.02271662082969531 0.04979955069850401
68 -0.009568642450848184 0.042621205339837744
69 -0.01794589499964024 0.011623164649341707
70 0.025159156946175012 0.02779385941981076
71 -0.023849209925917214 -0.021856241615647372
72 0.006477803663974534 0.05409652052128278
73 -0.027484197016308012 -0.005359180599355808
74 -0.007849204012258342 0.019131979653969455
75 -0.012485509347998532 0.011403546454789757
76 0.01844590491326136 0.02793996817987146
77 -0.01999659453506392 -0.0017901830339699936
78 -0.019916943580325676 0.01572161743369649
79 -0.004122867938254294 0.015027950871195309
80 0.05537846600858209 0.02765302039199932
81 -0.02311622660044 0.00948410738203874
82 -0.007167011570355073 0.018339252440919853
83 0.010048150750398924 0.026232394926730223
84 0.000335286724271475 0.028356392569283902
85 -0.013607855649318473 0.005942424534923632
