 time energy energy_var energy_MC xPol xPol_var xPol_MC tdvpErr tdvpRes dt
0 0.0 -9.974246717390681 9.06806224487649 0.021293264480671453 0.9999746717390606 8.4674573528145e-06 2.0576026527022292e-05 0.0 0.0 0.0
1 0.0001 -10.002033236117187 8.878064631603687 0.02106901116759361 0.9999733236117139 8.8037414787983e-06 2.098063568960471e-05 9.559754661103703e-06 0.0 0.0001
2 0.00030000000000000003 -10.030644802270103 9.067377507255719 0.021292460528618714 0.9999744802269663 1.0175942094586655e-05 2.255653130978548e-05 0.00011122590959811163 0.0 0.0002
3 0.0007000000000000001 -10.015654038726794 8.990575961809173 0.021202094191151464 0.9999754038726946 1.1390360239516608e-05 2.386457650945917e-05 0.011009019557219002 0.0 0.0004
4 0.0015 -10.002114475764179 8.855228117616704 0.021041896442118405 0.9999614475764423 1.6374325463970894e-05 2.8613218504714646e-05 3.8912796229695346e-07 0.0 0.0008
5 0.0031000000000000003 -9.999089901890772 9.111554277042396 0.021344266533477315 0.9999189901890648 3.28121420129723e-05 4.0504408410056e-05 4.325585645559293e-06 0.0 0.0016
6 0.0063 -9.947686955498767 8.997172319748039 0.021209870720666872 0.9997886955498607 8.399532739849885e-05 6.480560446384976e-05 4.762456923490532e-06 0.0 0.0032
7 0.010483417680994075 -10.03518742686554 9.107070154302543 0.021339013747479686 0.9994987426865316 0.0002007448699420167 0.00010018604442286777 7.572810169165223e-06 0.0 0.004183417680994075
8 0.018850253042982226 -9.976573347146006 9.047685898493787 0.021269327561648236 0.9985873347146194 0.0005712570342473264 0.00016900547835015976 0.02025973440167983 0.0 0.00836683536198815
9 0.03507828172984083 -10.027081134406442 8.972692861301137 0.021180997216020233 0.9952981134406487 0.0018516321288765082 0.000304272257105089 5.475815228583869e-05 0.0 0.016228028686858603
10 0.06753433910355804 -10.016662449588978 8.993916257765132 0.021206032464566694 0.9832662449588866 0.006534445739803787 0.0005715962622255234 0.0008065597338399177 0.0 0.032456057373717206
11 0.07809912022252753 -10.010993461843732 9.008633331283052 0.02122337547526671 0.9778693461843697 0.008611682365095708 0.0006561890872719428 0.00026817972073112095 0.0 0.010564781118969491
12 0.094632916427907 -9.999975099875227 9.121493743206596 0.021355905205828425 0.9678075099875322 0.012514192404304849 0.0007910180909531983 0.0007901368096253636 0.0 0.016533796205379474
13 0.10805249020436349 -9.974986757225414 9.182540610982453 0.021427249719670572 0.9588386757225718 0.016074023928543152 0.0008964938351305922 0.0004890273205053752 0.0 0.01341957377645649
14 0.11376299051389771 -9.969696882711164 9.068011484940104 0.021293204884352313 0.9548496882711169 0.01734067038809555 0.0009311463469319835 0.0013501588976768675 0.0 0.005710500309534223
15 0.12206107726980987 -9.97172737298399 9.202545272093769 0.02145057723243569 0.9482727372983626 0.019933670386779193 0.0009983403825043638 0.013410389367344289 0.0 0.008298086755912168
16 0.1321037768017445 -9.96190211340771 9.189467113865511 0.021435329614756932 0.9401102113407467 0.02282911969332995 0.00106838943492834 0.0021321545380813545 0.0 0.010042699531934627
17 0.14513574821159375 -9.984995496111434 9.232328387133766 0.021485260514052144 0.9284095496111474 0.026919634159726095 0.0011601645176380394 0.001802495858085007 0.0 0.013031971409849245
18 0.15929025569804084 -9.98032536740762 9.341783935057629 0.021612246453177452 0.9144525367407698 0.031932736260456125 0.0012635809483459326 0.0027565377028646587 0.0 0.01415450748644708
19 0.18759927067093501 -9.967095880727145 9.336162281550935 0.021605742618052884 0.8847995880727045 0.04161698950954988 0.0014425149827566762 0.002363319063176217 0.0 0.02830901497289416
20 0.19648942239546616 -10.011049697938574 9.081187103341428 0.02130866854515015 0.8738949697938397 0.04350331868546936 0.0014748443762897386 0.0029132896443960776 0.0 0.008890151724531146
