 time energy energy_var energy_MC xPol xPol_var xPol_MC tdvpErr tdvpRes dt
0 0.0 -9.999903691571165 8.999853800832716 0.0 0.9999783216518818 8.671666911367272e-06 0.0 0.0 0.0 0.0
1 0.0001 -9.99990368977052 8.999855112677318 0.0 0.9999775003659608 9.000206774458431e-06 0.0 1.7291710174838215e-07 3.4471014206617735e-08 0.0001
2 0.00030000000000000003 -9.99990392148544 8.999856672127267 0.0 0.9999756418993764 9.743643653416932e-06 0.0 1.9251802452213695e-07 3.788335447208836e-08 0.0002
3 0.0007000000000000001 -9.9999018182665 8.999871734732501 0.0 0.9999710566514992 1.1577837227170973e-05 0.0 2.2344039385391312e-07 4.8047445508359065e-08 0.0004
4 0.0015 -9.999883796521909 8.999959567572827 0.0 0.9999584238949251 1.663107570399739e-05 0.0 2.0551942703228576e-07 4.902266590298085e-08 0.0008
5 0.0031000000000000003 -9.999896593543175 8.999999628418848 0.0 0.9999192118092876 3.231560085489252e-05 0.0 9.412043022738459e-08 2.991027052291241e-08 0.0016
6 0.0063 -9.999894203216192 8.999973075388692 0.0 0.9997854228600065 8.58231222511452e-05 0.0 1.624780987530272e-08 1.2023476865251396e-08 0.0032
7 0.0127 -9.999939951073948 8.999745237408657 0.0 0.9992966251134525 0.00028122240574664464 0.0 3.6093813493565108e-09 5.2133985050940625e-09 0.0064
8 0.025500000000000002 -10.000186976175314 8.998708294943253 0.0 0.9974362841066311 0.0010235872607559807 0.0 1.3138737875451056e-09 2.933623835686178e-09 0.0128
9 0.051100000000000007 -10.001151018522108 8.994718809183142 0.0 0.9902231927793004 0.003882028022654748 0.0 8.814090568520783e-10 2.732501225692795e-09 0.0256
10 0.1023 -10.004613605771432 8.980680543501045 0.0 0.9624310713480845 0.014597588689234125 0.0 5.040717843129983e-10 2.1452178515733297e-09 0.0512
11 0.2047 -10.012451403627855 8.953606183243421 0.0 0.8623689334175074 0.04924750942202164 0.0 9.933651679006061e-10 2.398221316494421e-09 0.1024
12 0.29919843810509733 -10.014108248639765 8.954503724423796 0.0 0.7408082497440679 0.08301357539428306 0.0 6.6939769283180794e-09 6.797831576505832e-09 0.09449843810509735
13 0.3188806630386457 -10.014102452554994 8.954513753435164 0.0 0.7148940589655177 0.0890142185761524 0.0 4.4927803499739127e-07 4.09318229316195e-08 0.019682224933548362
