 time energy energy_var energy_MC zPol zPol_var zPol_MC zz1 zz1_var zz1_MC zz2 zz2_var zz2_MC xPol xPol_var xPol_MC xx1 xx1_var xx1_MC xx2 xx2_var xx2_MC tdvpErr tdvpRes dt
0 0.0 -16.000002184163407 14.99999725874627 0.0 0.0 0.06250006415921727 0.0 1.365512584845796e-07 0.05859377342758294 0.0 1.8748628830000946e-07 0.05468750173474134 0.0 0.9999999999589544 1.02613981027082e-11 0.0 0.9374999999345388 2.8631784060282866e-11 0.0 0.8749999999347022 2.8468531019119535e-11 0.0 0.0 0.0 0.0
1 0.0001 -16.000126145214427 14.997057743076404 0.0 -6.938893903907228e-18 0.06250426003329587 0.0 7.939161209800927e-06 0.05858422689491906 0.0 -7.608763862285931e-05 0.054686671804450915 0.0 0.9999999449146919 1.3771333408729535e-08 0.0 0.93749993245067 2.3924208641557633e-08 0.0 0.8749999068145341 4.2169575957093483e-08 0.0 1.962162654578492e-10 2.007628321017209e-13 0.0001
2 0.00030000000000000003 -16.000126396661027 14.997027389668084 0.0 -6.938893903907228e-18 0.06250430799033443 0.0 8.257319679233835e-06 0.05858411225821548 0.0 -7.608269816885161e-05 0.05468665809053276 0.0 0.9999996424716349 8.93823783220617e-08 0.0 0.9374996501251731 9.200760798066017e-08 0.0 0.8749993624458965 2.9670614625950655e-07 0.0 3.103694972139692e-07 1.0792277583441467e-09 0.0002
3 0.0007000000000000001 -16.000127380353042 14.996878526223789 0.0 -4.163336342344337e-17 0.06250451630757471 0.0 9.823718497578224e-06 0.05858354624987604 0.0 -7.604038756098015e-05 0.05468658074619033 0.0 0.9999981375535676 4.656194075940041e-07 0.0 0.9374982454086698 4.307162051757728e-07 0.0 0.8749966537419522 1.5632585867291237e-06 0.0 2.275855982669661e-06 4.0534661318649895e-09 0.0004
4 0.0015 -16.00013082463512 14.996227927712528 0.0 -4.85722573273506e-17 0.06250539334284874 0.0 1.6652421066014333e-05 0.05858105925617969 0.0 -7.58837153998276e-05 0.0546862333503923 0.0 0.999991524118629 2.119131354989514e-06 0.0 0.9374920724689559 1.9191798201795556e-06 0.0 0.874984750371171 7.1293437828915186e-06 0.0 1.2018130329138899e-05 3.117802863403886e-08 0.0008
5 0.00182 -16.0001309682189 14.995840855387371 0.0 -9.367506770274758e-16 0.06250590123262181 0.0 2.0649685120856937e-05 0.05857954981828732 0.0 -7.587906392690722e-05 0.054686021818821436 0.0 0.9999875358285605 3.1163907252787857e-06 0.0 0.9374883498413438 2.816879047788966e-06 0.0 0.8749775720773655 1.0486135737139216e-05 0.0 5.475038353430772e-05 2.946915038823427e-07 0.00032
6 0.001948 -16.000130974160644 14.995665829395726 0.0 -1.4641066137244252e-15 0.06250613059078412 0.0 2.2460242220039353e-05 0.058578866368492855 0.0 -7.588147032788067e-05 0.05468592610408354 0.0 0.9999857256428202 3.5690451511582097e-06 0.0 0.9374866602395011 3.2243379022258404e-06 0.0 0.874974314060601 1.2009729427851218e-05 0.0 8.028916814051268e-05 5.244954152620128e-07 0.00012800000000000002
7 0.0022040000000000002 -15.997909700920413 14.982386406065736 0.0 -1.0840287001379068e-13 0.06244545171583846 0.0 -0.000118092835024345 0.05849243836277935 0.0 -0.0007779331021148909 0.05472275634918576 0.0 0.99998744914255 3.138039467170989e-06 0.0 0.9374869240567565 3.7985703665460345e-06 0.0 0.8749780941208286 1.008855696181224e-05 0.0 9.097518179679298e-05 6.406511174039496e-07 0.00025600000000000004
8 0.0027160000000000005 -16.000777828776 14.974885563807863 0.0 -3.939952530895852e-12 0.06252564907220334 0.0 6.516597915910173e-05 0.05850803997915912 0.0 -0.0006485024479453332 0.05472602093853035 0.0 0.9999834483193408 4.138374042601742e-06 0.0 0.9374832702245234 4.641590510924035e-06 0.0 0.8749707252265655 1.3570279661933636e-05 0.0 3.912802827210626e-05 5.316387725902913e-07 0.0005120000000000001
9 0.003310933615659187 -16.000155420966124 14.980323429356119 0.0 -2.413252930821841e-11 0.06252833943060372 0.0 3.596776632203494e-05 0.0585196628684172 0.0 -0.0005458161110298652 0.054717943904270164 0.0 0.9999737460440608 6.564301303975968e-06 0.0 0.9374743694828964 6.714521671256093e-06 0.0 0.8749531424373969 2.1818078224050233e-05 0.0 3.3661789016981025e-05 3.5281153347393976e-07 0.0005949336156591865
