 time energy energy_var zPol zPol_var yPol yPol_var xPol xPol_var tdvpErr tdvpRes dt
0 0.0 0.0 1.0 0.0 1.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0
1 0.01 -3.065513783885504e-29 1.0 -0.019998999950002316 0.9996000400009998 0.9998000000005001 0.0003999599990001908 0.9998000000005001 0.0003999599990001908 2.220446049250313e-16 4.890268084658427e-15 0.01
2 0.02 1.2257839168268042e-32 1.0000000000000002 -0.03999000030004474 0.9984007998760025 0.9992000800019998 0.0015992001239975794 0.9992000800019998 0.0015992001239975794 2.220446049250313e-16 4.885222789881848e-15 0.01
3 0.03 -6.128777916927556e-32 1.0 -0.05996500465000715 0.9964041982173246 0.9982004799724976 0.0035958017826753915 0.9982004799724976 0.0035958017826753915 2.220446049250313e-16 4.503310240825149e-15 0.01
4 0.04 1.6097497261666115e-30 1.0000000000000002 -0.07991602299816963 0.993613429268156 0.996801599752005 0.006386570731843971 0.996801599752005 0.006386570731843971 2.220446049250313e-16 5.406974412164938e-15 0.01
5 0.05 1.6097386727698916e-30 1.0 -0.09983507493721244 0.9900329578122813 0.995003998892608 0.009967042187718829 0.995003998892608 0.009967042187718829 0.0 4.8342007206712214e-15 0.01
6 0.060000000000000005 -1.420714674239297e-29 1.0 -0.11971419284638052 0.9856685120311395 0.9928083964346491 0.014331487968860355 0.9928083964346491 0.014331487968860355 1.1102230246251565e-16 4.7804900382452946e-15 0.01
7 0.07 1.2669605912169838e-27 0.9999999999999998 -0.13954542507852946 0.9805270743396524 0.9902156706191092 0.019472925660347487 0.9902156706191092 0.019472925660347487 2.220446049250313e-16 4.736707707170317e-15 0.01
8 0.08 -7.8155807200247205e-25 1.0 -0.15932083914078676 0.9746168702154755 0.9872268585363121 0.025383129784524436 0.9872268585363121 0.025383129784524436 2.220446049250313e-16 5.1974161060514244e-15 0.01
9 0.09 -1.174675256219814e-24 1.0 -0.17903252486754706 0.9679473550395511 0.9838431557110876 0.03205264496044885 0.9838431557110876 0.03205264496044885 4.440892098500626e-16 4.4152747824694805e-15 0.01
