 time xPol zPol zz
0 0.0 1.0000000000000013 -4.0939474033052647e-16 -1.0105414768868377e-15
1 0.05 0.9860341819314966 -0.09953401688565718 0.00891615541936022
2 0.1 0.9445475885125162 -0.19628856013594004 0.034673814756018016
3 0.15000000000000002 0.8767769810047585 -0.28756647370656646 0.07441331627847497
4 0.2 0.7847922241404757 -0.3708358929718482 0.12373102394381352
5 0.25 0.6714920407621807 -0.44381351569756705 0.17717778907486378
6 0.30000000000000004 0.5405688933185977 -0.5045460727072459 0.22887204887103277
7 0.35000000000000003 0.3964243656441815 -0.551485947598895 0.2731554434395322
8 0.4 0.2440230315544021 -0.58355531831146 0.3052144667970763
9 0.45 0.08868377523591829 -0.6001925140181739 0.321596578371645
10 0.5 -0.06417971382980794 -0.6013748129917454 0.3205626989306379
11 0.55 -0.20934606976752188 -0.5876136764904942 0.3022383432521283
12 0.6000000000000001 -0.3420703587692095 -0.5599211489709462 0.2685502132508369
13 0.65 -0.4583328944744748 -0.519749353123944 0.22296080510021726
14 0.7000000000000001 -0.5550250593969199 -0.4689080562441598 0.17003728714494643
15 0.75 -0.6300541468642062 -0.4094676038570193 0.1149097009802058
16 0.8 -0.682361907157494 -0.3436556951203908 0.06268520898679188
17 0.8500000000000001 -0.7118643549289577 -0.27375635252309705 0.0178883748793763
18 0.9 -0.719330840620321 -0.2020181307412382 -0.016007883550508913
19 0.9500000000000001 -0.7062264983096528 -0.13057646243741702 -0.036909106466101
20 1.0 -0.6745431596100825 -0.061392535837844216 -0.04425127850418506
21 1.05 -0.6266400730006589 0.003791257334368636 -0.0389677404918643
22 1.1 -0.5651086913448538 0.06348106508381286 -0.023283600404577616
23 1.1500000000000001 -0.49266735983348847 0.11644927831579735 -0.0003706570880477305
24 1.2000000000000002 -0.41208397738363567 0.16174314478876817 0.02608857442038686
25 1.25 -0.32611921795584065 0.19868675385671697 0.05237022297565437
26 1.3 -0.23748053918498632 0.22687796535297794 0.07515290453963333
27 1.35 -0.1487779758731611 0.2461808932597681 0.0918831850976032
28 1.4000000000000001 -0.062475874679513224 0.25671379717417275 0.10102221350025896
29 1.4500000000000002 0.01916093300297852 0.25883186299903055 0.10215002904424475
30 1.5 0.09412381901382194 0.2531044204481244 0.09592319278681302
31 1.55 0.16071423273980767 0.2402865774383811 0.08390017944955594
32 1.6 0.2175879749081202 0.22128589117994185 0.06826499626055058
33 1.6500000000000001 0.26378390676904945 0.19712534833354528 0.051490816860595784
34 1.7000000000000002 0.2987334620758863 0.16890441620191027 0.03599077493135107
35 1.75 0.3222504159727322 0.13776013856562944 0.023802027605324287
36 1.8 0.3345033588802075 0.10483015055413733 0.016342203687391164
37 1.85 0.33597550861023406 0.07121912384724607 0.01426559389319228
38 1.9000000000000001 0.32741744971981 0.03796963134804998 0.017431695693579514
39 1.9500000000000002 0.30979805841478136 0.006037868081069361 0.024983089290561936
40 2.0 0.28425752716634933 -0.02372580017752471 0.03551521607389702
