psiR psiI
0.03125000000000533 -7.424616477180734e-16
0.031250000000000944 -9.870576578308032e-16
0.031250000000000625 -6.106226635438361e-16
0.031250000000000513 2.8449465006019636e-16
0.031249999999998727 -1.960237527853792e-16
0.03125000000000127 -6.83481049534862e-16
0.03125000000000125 -8.933825901280557e-16
0.031249999999996843 3.662868619525028e-15
0.03125000000000122 1.3530843112619095e-16
0.03125000000000009 5.412337245047638e-16
0.03125000000000053 -3.5561831257524545e-16
0.031249999999998723 1.1336417915508434e-15
0.031249999999999636 -1.635844237846129e-15
0.031249999999999865 3.9898639947466563e-16
0.03125000000000111 5.507747036226363e-16
0.03124999999999885 2.1068216615738322e-15
0.03125000000000043 -5.93275428784068e-16
0.03125000000000083 -5.273559366969494e-16
0.03125000000000021 8.500145032286355e-17
0.031249999999998987 2.1250362580715887e-16
0.03124999999999962 -1.474514954580286e-16
0.03124999999999993 7.892991815694472e-17
0.031249999999999292 4.163336342344337e-17
0.03124999999999936 1.2750217548429532e-16
0.03124999999999972 3.972516759986888e-16
0.0312499999999994 -2.5066754227864863e-16
0.03124999999999972 -7.745540320236444e-16
0.031250000000000173 8.76902717106276e-16
0.031249999999998425 -1.3166551182663966e-15
0.03125000000000087 1.0347625534201654e-15
0.0312500000000008 1.1188966420050406e-15
0.03124999999999768 2.428619272872494e-16
0.031250000000000486 -5.360295540768334e-16
0.03125000000000081 4.701100619897147e-16
0.031249999999999847 5.551115123125783e-17
0.03124999999999964 2.1684043449710089e-16
0.03125000000000016 -5.741934705483231e-16
0.0312499999999997 4.839878497975292e-16
0.03124999999999884 9.8879238130678e-17
0.03124999999999937 -7.936359902593892e-16
0.03124999999999962 -4.666406150377611e-16
0.031249999999999868 4.5102810375396984e-17
0.031249999999999854 -3.9898639947466563e-17
0.031249999999999525 -1.2576745200831851e-16
0.03124999999999941 -4.336808689942018e-18
0.03125000000000055 1.3704315460216776e-16
0.03124999999999986 -8.68229099726392e-16
0.03124999999999866 1.8017827667869472e-16
0.03125000000000084 -9.454242944073599e-16
0.03125000000000109 6.375108774214766e-16
0.03125000000000168 2.5934115965853266e-16
0.03124999999999967 -9.575673587391975e-16
0.03125000000000052 5.43835809718729e-16
0.03125000000000057 -1.1796119636642288e-16
0.0312500000000006 -1.0200174038743626e-15
0.03124999999999982 1.2778771029081475e-15
0.031249999999999955 7.632783294297951e-17
0.031250000000000125 -2.5587171270657905e-16
0.031250000000000444 7.806255641895632e-18
0.031250000000000826 6.994865841061793e-16
0.0312500000000006 -2.327998904760875e-15
0.03125000000000126 1.602139102808986e-15
0.031250000000001416 1.3796675932785385e-15
0.031249999999998914 -2.6367796834847468e-15
0.03125000000000083 1.7520707107365752e-16
0.031249999999999785 9.8879238130678e-17
0.03125000000000045 -1.97758476261356e-16
0.031249999999999986 -1.5785983631388945e-16
0.03125000000000009 -3.5908775952719907e-16
0.03124999999999967 3.2612801348363973e-16
0.03124999999999921 4.466912950640278e-16
0.031249999999999858 -1.0408340855860843e-15
0.03124999999999932 9.80118763926896e-16
0.031249999999999393 -6.591949208711867e-17
